Julia Quinn,Bridgerton,1,The Duke and I,464,Daphne Bridgerton,F,21,Simon Basset,M,29,2000
Julia Quinn,Bridgerton,4,Romancing Mr. Bridgerton,496,Colin Bridgerton,M,33,Penelope Featherington,F,28,2002
Julia Quinn,Bridgerton,2,The Viscount Who Loved Me,354,Anthony Bridgerton,M,29,Kate Sheffield,F,21,2000
Julia Quinn,Bridgerton,3,An Offer From A Gentleman,480,Benedict Bridgerton,M,30,Sophie Beckett,F,22,2001
Julia Quinn,Bridgerton,5,"To Sir Phillip, With Love",416,Eloise Bridgerton,F,28,Phillip Crane,M,30,2003
Julia Quinn,Bridgerton,6,When He Was Wicked,464,Francesca Bridgerton,F,26,Michael Stirling,M,33,2004
Julia Quinn,Bridgerton,7,It's In His Kiss,431,Hyacinth Bridgerton,F,22,Gareth St. Clair,M,28,2005
Julia Quinn,Bridgerton,8,On The Way To The Wedding,496,Gregory Bridgerton,M,26,Lucy Abernathy,F,20,2006
